7.1612,1,7,1,0,24,0,7,12,13,4,6,30,13,4,19,5,9,55,8,21,1,33
7.2266,2,6,1,1,20,1,9,10,14,5,9,10,27,16,18,6,21,53,14,6,3,29
7.2881,1,7,0,1,27,0,7,9,10,4,6,19,9,5,15,3,10,48,6,21,1,30
7.3534,2,7,1,1,20,1,6,7,15,2,10,29,36,16,18,7,17,51,6,5,3,32
7.4151,2,8,1,1,25,1,7,11,12,4,7,20,8,3,9,4,24,54,7,22,1,34
7.4765,2,5,1,1,23,1,8,9,12,2,8,26,33,17,18,6,22,35,7,9,3,34
7.5382,1,8,1,1,25,0,8,8,8,8,8,20,13,1,15,3,24,54,8,21,1,34
7.6034,2,7,1,1,23,1,9,12,14,4,8,27,37,11,6,6,8,55,10,10,2,28
7.665,1,8,1,1,24,1,9,7,11,3,5,19,12,10,21,4,26,55,8,13,0,31
7.7304,2,2,1,1,24,1,6,11,14,2,8,25,10,3,9,5,0,54,10,15,3,31
7.7923,1,8,1,0,28,0,10,10,14,2,4,6,30,13,18,3,25,55,4,3,0,25
7.8575,2,7,1,1,23,1,7,12,14,2,10,22,13,9,18,7,25,44,8,15,3,30
7.919,2,5,0,1,20,0,9,9,13,6,8,34,34,13,21,4,25,50,3,9,1,30
7.9805,2,8,1,0,25,1,5,11,9,7,10,20,25,6,15,4,19,56,9,16,3,30
8.0456,2,6,0,1,20,1,10,7,13,5,8,29,39,12,12,2,14,45,2,14,3,30
8.1075,1,8,1,0,27,1,9,10,17,3,8,24,16,2,16,3,30,53,6,18,0,33
8.1689,2,1,1,1,20,1,7,9,14,1,8,26,26,8,11,4,19,51,17,0,3,31
8.2342,1,6,1,0,26,0,8,10,11,4,7,30,26,14,21,4,30,54,10,15,1,30
8.2957,2,7,1,1,25,1,7,11,11,4,9,24,13,7,13,7,15,32,9,27,3,30
8.3609,2,7,0,1,22,0,8,8,16,6,8,25,36,12,19,8,20,46,10,4,3,34
8.4226,1,8,1,0,27,1,5,11,13,6,8,17,20,8,18,5,27,56,9,26,3,29
8.4841,2,4,1,1,18,1,8,7,12,4,8,31,38,16,19,4,11,51,9,22,3,25
8.5494,2,8,1,0,24,0,8,7,12,7,6,11,14,1,17,4,32,55,6,31,1,35
8.6111,2,6,1,1,17,1,7,9,16,3,8,29,29,12,24,5,10,54,3,15,3,29
8.6763,2,7,1,1,27,0,7,9,14,6,6,13,13,7,21,3,30,57,11,19,1,32
8.7379,2,7,1,1,21,1,5,12,14,2,8,23,27,13,6,5,15,44,10,19,3,31
8.8032,2,6,0,1,19,0,8,6,15,8,8,20,35,13,18,6,31,57,11,23,3,32
8.8648,1,7,1,0,24,1,7,12,12,3,5,12,25,4,19,1,20,53,6,28,1,34
8.9263,2,4,1,1,23,1,9,7,9,3,8,26,34,15,17,2,15,49,6,20,2,32
8.9917,2,8,1,0,26,1,6,9,13,9,10,16,14,11,15,6,36,56,9,31,1,35
9.0536,2,8,1,1,21,1,5,11,11,4,8,30,36,13,12,4,11,55,12,0,3,31
9.1188,2,6,0,1,13,1,11,5,15,5,11,29,15,9,18,8,28,58,5,22,3,28
9.1804,1,5,1,0,25,1,7,11,11,4,5,26,8,8,15,3,15,41,14,32,1,31
9.2419,2,7,1,1,19,1,10,8,15,5,9,19,34,14,17,8,27,46,3,24,1,29
9.3034,2,8,1,1,26,0,7,9,14,4,6,17,19,8,18,0,19,50,7,30,1,33
9.3688,2,3,1,1,23,1,7,7,15,5,8,29,34,16,18,7,14,46,11,27,2,32
9.4302,2,8,0,1,22,1,8,6,15,4,9,12,12,6,19,6,28,56,7,27,3,32
9.4955,2,8,1,0,19,1,6,9,11,3,8,29,35,9,9,1,11,52,10,13,3,29
9.5574,2,8,0,1,24,1,12,7,19,3,9,21,5,8,13,6,24,58,6,26,3,30
9.6224,1,5,1,0,23,1,5,9,11,4,8,32,23,8,18,0,19,48,18,12,3,31
9.6841,2,7,1,1,18,1,11,4,13,5,8,16,22,12,17,9,32,55,12,27,3,29
9.7455,2,7,0,1,24,0,7,11,11,4,5,11,9,3,20,1,15,48,6,30,1,33
9.8108,2,5,1,1,26,1,9,6,18,7,8,30,32,14,21,9,14,51,9,14,1,26
9.8723,2,7,0,1,27,0,7,8,13,8,7,10,19,3,13,1,19,53,9,30,2,33
9.9378,2,6,1,1,19,1,10,10,13,4,8,29,36,16,16,7,17,53,3,18,3,30
9.9993,2,8,0,1,22,1,14,8,20,7,9,18,14,6,17,8,25,57,9,28,2,23
10.0609,1,6,1,0,25,1,7,10,12,4,8,34,28,9,13,4,19,46,2,15,2,32
10.1262,2,7,1,1,20,1,10,9,11,5,7,17,18,14,18,9,28,52,6,21,2,30
10.1878,2,5,0,1,27,0,7,10,14,4,6,26,10,9,18,4,23,53,12,30,1,33
10.2493,1,3,1,0,26,1,6,7,7,3,6,23,38,14,18,6,29,46,9,19,3,32
10.3147,2,8,0,1,27,1,7,9,14,6,9,13,16,13,20,4,19,56,6,28,3,31
10.3761,1,6,1,0,21,1,5,7,11,4,8,30,36,11,15,4,5,43,5,21,1,34
10.4416,2,7,1,1,27,1,8,9,15,4,10,25,27,10,0,7,27,55,9,25,3,29
10.503,1,6,1,0,17,0,8,12,11,4,8,32,35,5,21,4,20,51,6,9,3,30
10.565,2,6,1,1,21,1,10,9,19,4,10,8,6,13,23,9,29,55,9,19,3,30
10.6302,2,2,0,1,23,0,7,12,13,4,6,16,12,7,11,3,14,44,2,28,1,32
10.6918,2,3,1,1,26,1,9,7,15,5,10,8,23,16,23,9,29,50,6,10,3,29
10.7572,2,7,0,1,26,0,7,12,11,4,0,17,10,6,29,4,18,39,7,29,1,31
10.8187,2,8,1,1,24,1,7,10,12,8,5,29,38,16,23,9,17,41,13,14,3,30
10.88,2,8,1,1,22,1,7,8,6,2,5,13,27,7,13,2,27,58,7,27,3,33
10.9459,1,7,1,0,23,1,9,9,11,3,4,32,33,14,21,3,21,47,13,15,3,27
11.0085,2,8,1,1,23,1,8,8,12,5,6,22,6,5,13,6,28,58,6,28,3,30
11.0687,1,5,1,1,27,1,5,11,12,4,4,33,24,10,4,5,20,51,5,20,3,34
11.1341,2,8,0,1,20,1,9,6,9,6,7,11,19,13,29,8,25,58,7,24,3,31
11.1953,1,6,1,0,23,1,5,10,11,4,5,8,8,8,7,7,13,47,8,26,3,31
11.2608,2,6,1,1,25,0,8,7,16,7,3,15,34,10,25,6,26,49,4,25,1,32
11.3225,1,8,1,1,26,1,7,10,11,5,3,14,25,12,16,4,15,47,10,30,3,32
11.3841,2,5,1,1,22,1,9,7,16,4,5,31,36,16,23,8,21,42,2,23,2,29
11.4491,2,8,1,0,26,1,6,8,12,6,3,10,16,4,19,6,31,55,6,31,1,33
11.5109,2,8,1,1,26,1,9,8,14,3,4,25,34,13,17,5,9,47,11,16,3,28
11.5723,1,8,1,0,25,0,7,7,10,4,5,15,0,8,25,5,27,54,6,27,1,33
11.6378,2,4,1,1,23,1,7,9,14,3,5,31,20,6,18,7,13,50,7,23,3,30
11.6993,1,8,1,0,21,0,12,9,10,5,3,20,29,12,30,5,28,56,5,20,1,32
11.7643,2,0,1,1,22,1,5,12,14,2,3,11,7,12,15,6,2,55,10,27,3,30
11.8259,1,5,1,1,23,0,7,8,11,5,2,28,27,12,25,5,26,47,7,15,0,32
11.8912,2,7,1,1,24,1,6,11,13,4,4,33,15,12,17,7,28,45,9,26,3,28
11.9529,2,5,0,1,19,0,10,9,12,4,4,31,34,13,25,2,22,47,12,20,2,31
12.0145,1,8,1,1,25,1,5,9,12,5,6,12,15,10,24,6,27,56,6,31,3,34
12.0759,2,4,1,1,19,1,7,9,14,2,5,29,34,5,24,7,19,32,4,22,3,31
12.1412,1,7,1,0,22,0,9,7,9,5,2,12,10,14,23,5,31,54,4,20,1,31
12.2028,2,2,1,1,22,1,7,7,14,2,5,26,18,7,32,6,16,56,7,19,3,34
12.2681,1,2,1,0,27,1,8,8,9,6,3,20,33,13,26,8,29,53,5,26,1,31
12.3297,2,8,1,1,23,1,7,10,14,3,3,27,14,12,26,6,25,43,9,27,3,30
12.3951,2,6,0,1,22,0,8,11,16,5,2,27,31,16,26,6,18,34,6,31,0,30
12.4566,1,8,1,0,26,1,7,8,12,8,7,10,26,7,24,8,25,52,9,29,3,30
12.5182,2,4,0,1,27,1,9,7,14,3,5,24,38,14,25,3,20,51,0,21,2,32
12.5834,1,8,1,1,26,0,7,9,15,5,3,10,15,13,26,5,30,54,6,28,1,30
12.645,2,0,1,1,26,1,7,11,15,2,5,27,12,4,20,7,17,48,9,30,3,31
12.7104,1,4,0,1,27,0,10,8,13,4,3,30,27,12,26,3,29,51,2,32,1,36
12.7719,2,7,1,0,27,1,5,9,13,4,3,10,13,13,21,6,15,26,9,28,3,31
12.8336,2,8,0,1,25,0,9,5,13,9,3,31,38,12,26,9,25,47,11,20,3,39
12.8988,1,6,1,1,25,1,5,10,8,6,4,22,2,16,25,3,34,59,6,30,1,33
12.9604,2,3,1,1,21,1,8,8,11,1,4,31,30,14,18,9,19,54,9,25,2,30
13.0258,1,7,1,1,25,0,8,10,12,6,5,22,11,15,29,4,27,57,5,24,3,28
13.0873,2,3,1,1,21,1,5,11,14,2,5,28,21,8,18,8,19,53,7,31,3,33
13.1489,2,7,0,1,24,0,10,7,14,7,4,18,21,13,26,6,29,55,6,21,2,33
13.2142,1,3,1,0,22,1,6,12,11,4,5,16,9,11,10,7,43,48,10,27,3,31
13.2759,2,3,1,1,19,1,8,8,12,6,7,27,31,15,23,9,27,39,13,20,3,31
13.3374,1,7,1,1,26,0,7,12,9,5,2,11,6,5,24,6,17,51,5,29,1,34
13.4027,2,5,1,1,21,1,10,7,15,2,5,30,35,17,25,5,17,48,10,17,2,32
13.4641,2,6,0,1,23,0,8,8,13,8,2,1,13,1,15,5,28,53,7,30,3,27
13.5295,2,6,1,1,22,1,7,12,14,2,5,21,31,11,26,6,20,38,7,23,3,31
13.5911,2,7,0,1,25,0,9,11,12,5,3,32,18,6,26,6,26,57,5,32,1,29
13.6565,2,5,1,0,26,1,5,12,11,4,5,24,24,12,16,8,26,53,15,23,3,29
13.718,2,1,1,1,30,1,8,9,14,5,5,26,34,15,23,7,26,47,7,21,1,29
