2.7754,13,16,0,1,4,23,17,3,32,5,7,34,1,6,8,2,12,0,2,26,11,6,
2.8408,10,76,0,1,7,37,14,4,30,3,10,0,1,8,7,3,14,11,1,34,5,7,
2.9063,5,39,1,0,24,58,37,0,18,7,11,10,1,7,0,4,7,11,0,70,5,17,
2.9679,5,37,1,0,10,35,39,7,29,4,8,27,1,6,7,6,0,11,3,12,2,14,
3.0334,6,60,1,0,15,46,13,2,23,8,2,35,1,8,12,3,16,9,2,18,2,9,
3.0988,6,76,1,1,26,58,17,9,10,4,6,48,1,8,9,3,14,8,0,68,8,15,
3.1645,8,56,1,0,25,65,42,7,16,5,9,23,1,6,10,8,15,10,2,61,12,20,
3.2261,11,26,1,1,0,21,40,7,30,1,10,39,1,6,9,7,0,8,4,16,5,16,
3.2915,7,60,1,1,11,39,27,9,12,4,5,37,1,8,12,3,17,9,1,41,5,15,
3.357,9,53,1,0,23,49,21,7,22,9,5,14,1,7,11,3,16,11,0,69,15,14,
3.4186,8,40,1,1,20,53,35,5,22,7,0,6,1,5,9,4,3,7,4,69,10,18,
3.4841,13,51,1,0,13,39,29,6,28,7,7,32,1,7,9,9,6,6,4,26,7,17,
3.5495,7,81,1,0,10,22,36,6,15,7,3,31,1,8,9,3,12,11,2,25,4,16,
3.6152,7,78,1,0,24,61,24,7,24,5,7,18,1,11,6,3,13,9,1,67,11,13,
3.6804,5,7,1,0,18,60,40,7,27,2,11,32,1,10,12,6,5,13,3,41,6,21,
3.7421,9,0,1,0,10,35,11,7,28,7,8,37,1,8,5,7,12,11,3,39,7,16,
3.8076,9,88,1,0,26,49,15,5,15,6,5,28,1,8,9,3,17,12,0,29,1,11,
3.873,10,54,1,1,25,59,32,10,13,5,11,30,1,7,9,6,15,9,0,67,9,20,
3.9347,4,59,1,0,15,50,37,4,27,3,6,11,1,5,11,4,5,13,1,21,5,14,
4,7,59,1,0,12,31,10,5,28,6,8,40,1,8,9,7,13,9,2,24,2,7,
4.0654,6,83,1,0,24,28,18,6,26,8,9,32,1,8,7,3,15,7,0,49,0,18,
4.1317,2,31,1,1,22,64,43,8,21,8,11,22,1,8,4,9,11,8,3,63,10,16,
4.193,7,57,1,0,16,49,41,7,30,2,10,25,1,6,9,6,13,9,3,22,4,16,
4.258,9,41,1,1,7,26,21,5,21,6,5,39,1,7,9,3,16,9,3,7,9,15,
4.3236,6,83,1,1,23,46,24,4,29,8,9,40,0,6,9,3,16,12,1,64,11,19,
4.389,12,33,1,1,23,56,42,7,15,6,6,34,1,8,9,7,16,10,0,69,7,13,
4.4507,12,75,1,0,16,37,35,7,27,2,9,23,1,5,9,3,6,12,2,7,9,16,
4.516,6,69,1,0,6,23,30,8,19,10,5,37,0,8,8,4,14,7,4,0,7,1,
4.5815,12,82,1,1,25,62,27,5,17,7,1,9,0,8,9,3,15,7,3,74,10,13,
4.6469,2,22,1,1,16,60,43,7,30,5,8,21,1,7,10,4,7,6,6,54,6,17,
4.7084,2,4,0,1,13,20,9,3,30,8,8,40,1,6,13,4,2,5,6,44,11,0,
4.7744,9,80,0,1,0,40,14,3,20,2,13,44,1,6,12,0,19,7,1,32,8,4,
4.8395,6,21,1,1,26,64,36,7,31,5,8,38,1,4,10,4,17,4,1,69,14,17,
4.905,12,53,0,1,22,57,42,4,29,6,11,30,1,5,9,7,13,5,7,25,11,25,
4.967,9,23,0,1,3,37,15,5,27,5,13,38,1,5,12,6,8,7,6,22,12,18,
5.0324,9,89,0,1,27,51,13,2,28,8,13,9,1,5,10,0,20,7,1,41,5,11,
5.0977,6,59,0,1,27,72,42,4,9,7,6,1,1,3,18,5,9,10,4,52,12,21,
5.1592,13,0,1,0,13,14,41,7,34,3,8,36,1,4,12,6,10,7,2,33,3,12,
5.2246,7,76,1,0,24,26,19,7,15,5,9,40,1,8,9,3,14,6,4,29,4,15,
5.2901,7,85,1,1,25,52,16,8,34,2,13,33,1,9,11,3,16,10,0,70,13,2,
5.3556,12,19,1,0,25,54,37,3,22,2,8,46,1,3,12,8,2,5,1,67,12,19,
5.4171,11,64,0,1,24,29,35,3,30,3,5,39,1,4,8,5,14,2,3,11,5,4,
5.4827,6,89,1,1,28,41,20,5,26,8,8,40,1,6,12,3,18,5,5,12,12,15,
5.5482,9,93,0,1,30,52,27,4,15,5,7,30,1,6,13,2,14,4,2,71,10,14,
5.6136,5,24,0,1,27,61,41,4,28,8,15,23,1,7,10,5,8,7,4,62,10,21,
5.6753,6,27,0,1,0,28,23,4,32,2,9,38,1,4,10,2,10,3,7,39,9,0,
5.7406,7,82,1,0,6,13,12,7,14,5,2,35,1,8,11,3,15,14,1,46,8,15,
5.8065,10,69,1,0,33,60,26,4,17,3,10,13,1,10,5,6,17,8,2,72,11,24,
5.8717,8,5,1,0,26,48,36,6,29,2,11,34,1,6,6,7,5,8,3,29,11,22,
5.9333,8,57,1,0,26,36,10,5,26,5,11,34,1,8,11,4,3,9,2,46,6,9,
5.9986,6,88,1,0,41,33,22,8,14,3,8,34,1,8,8,3,16,7,0,38,2,13,
6.0644,17,74,1,0,31,61,36,8,24,3,11,29,1,9,7,5,19,12,1,58,15,24,
6.1295,7,65,1,1,30,54,38,4,33,3,7,24,1,8,10,4,9,4,3,27,6,18,
6.1949,10,16,1,0,28,25,19,7,26,2,7,41,1,8,9,5,4,12,3,14,10,13,
6.2566,7,82,1,0,30,26,12,7,22,3,10,26,1,8,9,3,19,15,0,72,2,18,
6.3221,5,80,1,0,31,62,38,3,28,7,11,9,1,8,19,4,0,7,1,70,10,22,
6.3877,10,71,0,1,13,22,35,6,35,6,7,22,1,4,17,3,18,6,5,34,9,21,
6.4492,9,60,0,1,19,43,5,6,21,6,8,30,1,4,11,3,13,5,6,16,8,19,
6.5146,6,87,1,0,38,42,5,7,16,7,10,31,1,8,9,3,18,6,0,72,10,9,
6.5805,10,55,1,0,31,64,39,4,25,6,14,31,1,7,13,7,2,10,2,58,12,24,
