2.4136	26	26	1	2	11	50	17	21	21	12	12	10	0	3	5	15	109	11	2	5	23	28
2.475	28	23	1	2	9	45	3	22	17	12	9	14	0	11	8	18	107	13	2	3	20	30
2.5403	29	24	1	2	13	47	21	17	7	11	12	13	1	11	7	19	98	13	2	7	22	28
2.6019	25	22	1	1	7	46	8	17	22	12	10	16	1	11	8	19	101	12	1	7	19	32
2.6635	25	27	0	2	13	50	26	20	14	12	12	14	1	9	4	19	105	13	2	7	21	31
2.7288	22	25	0	2	11	38	17	20	12	13	7	11	1	10	11	16	102	11	2	10	18	32
2.7901	29	23	1	2	8	49	2	21	9	7	10	10	0	8	1	17	111	13	2	6	23	28
2.8518	27	14	1	2	10	42	14	20	21	12	10	18	0	11	8	18	95	12	2	6	20	29
2.9132	29	23	1	1	12	48	0	21	14	10	11	13	1	7	5	18	109	13	1	9	23	29
2.979	24	28	1	1	11	30	22	20	16	12	10	13	1	11	2	18	106	13	2	11	15	34
3.0402	26	25	1	2	12	48	17	21	9	12	8	15	1	11	7	17	105	11	2	6	20	31
3.1017	26	24	1	2	10	45	26	20	24	13	9	16	0	8	7	16	100	13	2	7	19	31
3.167	28	23	1	2	9	47	24	18	21	9	11	18	1	11	3	19	108	13	2	8	24	28
3.2285	29	18	1	1	11	48	32	17	23	11	10	13	2	9	0	19	108	13	1	9	14	32
3.2939	26	27	0	2	10	46	18	22	9	12	10	14	1	11	10	18	109	11	2	8	16	35
3.3561	24	27	1	2	10	51	27	20	20	14	11	18	0	11	5	17	100	13	2	13	17	29
3.417	28	23	1	1	10	41	20	17	5	12	12	14	1	11	9	19	106	13	1	9	18	32
3.4825	24	26	1	1	10	47	29	17	19	11	10	12	1	10	6	19	101	13	1	11	21	32
3.5438	25	21	0	2	11	53	12	22	26	13	7	17	1	9	10	17	110	11	2	8	19	30
3.6054	25	20	1	2	11	52	25	20	16	14	7	14	0	12	6	18	104	13	2	3	21	29
3.667	29	16	1	1	12	47	6	19	29	12	10	11	1	11	7	19	106	13	1	9	16	32
3.7284	22	27	1	1	12	47	25	20	5	15	10	21	1	8	9	18	99	14	2	6	20	32
3.7938	26	21	0	2	12	42	14	22	13	13	8	13	1	10	9	17	106	13	2	9	19	35
3.8552	28	25	1	2	12	51	25	21	1	13	9	15	0	10	5	14	97	12	2	4	22	28
3.9205	25	21	1	2	11	42	11	22	21	14	8	14	0	11	8	19	103	13	2	9	20	28
3.9822	29	23	1	1	11	48	26	17	15	11	12	19	1	11	4	19	103	13	2	9	22	28
4.0436	25	23	1	2	12	45	4	17	15	14	10	10	1	11	9	18	105	12	1	6	17	29
4.1051	26	26	1	2	13	49	9	19	4	13	6	15	1	9	8	17	103	11	2	8	20	31
4.1705	26	23	0	2	13	40	12	20	20	14	7	15	1	10	13	17	96	10	2	7	14	31
4.232	28	23	1	2	13	52	16	22	1	13	11	22	1	9	9	18	105	13	2	9	23	28
4.294	24	27	1	2	7	47	5	20	25	10	10	14	0	11	8	19	106	13	2	3	20	32
4.3591	29	22	1	1	13	45	14	21	26	12	11	16	1	10	4	19	106	13	1	8	20	31
4.4205	24	25	0	2	11	59	26	20	20	14	8	17	1	10	5	17	115	11	2	10	15	36
4.4819	28	23	1	2	10	50	11	22	7	11	9	17	0	10	7	19	105	13	2	9	22	28
4.5475	28	23	1	2	10	46	28	17	20	12	10	16	1	10	4	17	101	13	2	10	17	27
4.6089	29	27	1	1	12	44	21	24	20	14	13	16	1	10	10	19	105	13	2	6	19	33
4.6704	23	28	1	2	10	50	31	20	20	13	11	15	0	9	9	16	100	13	2	9	15	33
4.7357	28	25	1	2	8	47	9	18	23	14	13	16	1	11	7	19	108	13	1	13	20	29
4.7973	24	27	1	1	13	44	25	19	19	14	10	12	1	3	3	19	102	12	1	9	17	31
4.8587	25	23	0	2	13	47	25	23	4	14	9	16	1	10	11	17	110	11	2	7	13	29
4.9203	24	18	1	2	13	52	27	20	16	11	8	15	0	9	4	18	99	14	2	6	23	29
4.9857	24	21	1	2	11	41	16	23	10	11	10	15	0	11	10	19	109	13	2	11	19	27
5.0471	26	25	1	2	13	50	25	20	11	11	9	17	1	9	10	19	103	12	2	7	23	34
5.1092	24	15	1	2	10	43	19	21	9	12	7	18	1	10	9	18	104	10	2	9	18	29
