0.9863,11,38,6,6,7,45,98,9,22,9,6,11,4,5,5,7,20,4,1,80,10,26,,,,,,,
0.9892,6,12,3,9,4,35,84,11,32,16,6,13,5,3,5,6,6,3,1,53,9,25,,,,,,,
0.9918,14,17,7,8,9,27,87,7,27,15,5,14,5,2,9,7,14,4,1,48,8,21,,,,,,,
0.9946,31,38,11,9,9,37,84,7,28,16,5,15,3,4,20,6,18,9,0,42,8,12,,,,,,,
0.9972,31,56,1,8,2,25,79,11,15,16,6,9,4,4,19,7,16,6,1,58,5,15,,,,,,,
0.9999,30,52,2,11,3,27,78,10,9,7,7,13,5,2,23,5,30,10,1,33,13,18,,,,,,,
1.0027,31,51,2,11,12,46,65,12,13,8,0,7,4,5,23,7,30,13,0,41,11,28,,,,,,,
1.0057,26,54,2,11,13,56,96,12,16,15,9,10,3,2,23,7,29,13,1,52,12,21,,,,,,,
1.0096,23,54,2,11,13,56,75,13,11,13,7,6,3,5,18,7,33,12,1,47,2,16,,,,,,,
1.0123,11,37,2,11,13,55,99,9,1,9,4,9,4,4,11,7,30,12,1,55,14,17,,,,,,,
1.015,40,28,3,11,13,55,119,8,17,7,6,7,5,4,15,6,22,13,1,59,10,27,,,,,,,
1.0177,28,6,6,8,11,61,114,10,17,8,8,0,2,4,8,3,18,13,1,51,14,28,,,,,,,
1.0209,33,20,2,5,8,42,112,14,26,12,11,6,4,5,13,5,10,7,1,49,12,22,,,,,,,
1.0237,26,17,5,6,11,22,105,9,35,16,7,4,3,6,13,2,21,7,1,42,11,24,,,,,,,
1.0263,18,33,4,4,9,13,69,9,31,14,4,22,3,5,5,5,10,7,0,40,8,22,,,,,,,
1.029,29,11,8,6,7,28,62,11,30,17,4,20,4,4,13,6,14,6,1,38,7,21,,,,,,,
1.0317,27,56,6,7,8,35,70,13,20,14,7,15,5,2,22,7,23,2,1,39,10,20,,,,,,,
1.0347,21,50,4,7,5,12,87,11,11,12,4,20,4,4,20,7,25,8,0,49,10,23,,,,,,,
1.038,28,42,1,11,13,25,78,11,10,6,10,12,5,4,23,7,28,13,1,40,11,20,,,,,,,
1.0415,24,50,3,9,13,43,95,3,19,8,,28,38,22,25,28,18,16,23,1,2,7,16,8,12,2,21,26,42
1.0443,29,31,2,3,18,39,7,22,33,15,23,28,0,1,2,21,13,11,2,18,27,39,,,,,,,
1.0473,27,30,2,3,16,41,24,38,22,25,28,18,16,23,1,2,7,16,8,12,2,21,26,42,,,,,
1.0505,29,31,2,3,18,39,7,22,33,15,23,28,0,1,2,21,13,11,2,18,27,39,,,,,,,
1.0572,27,30,2,3,16,41,24,22,27,15,21,20,0,3,3,17,10,11,2,19,27,42,,,,,,,
1.1184,26,28,2,2,19,33,0,20,32,13,22,19,1,1,0,20,4,11,2,16,28,37,,,,,,,
1.1839,28,32,2,2,18,39,24,21,33,12,23,17,1,2,3,16,6,13,1,22,27,38,,,,,,,
1.2463,23,29,2,2,15,37,15,22,32,15,23,25,1,1,0,17,6,13,1,18,25,36,,,,,,,
