19.8651	9	34	6
19.9184	8	15	8
19.9717	6	35	6
20.0289	8	17	4
20.0822	8	27	5
20.1355	8	12	5
20.1927	8	25	9
20.246	8	19	8
20.2994	9	11	6
20.3565	9	29	6
20.4099	7	26	10
20.4632	6	33	4
20.5205	9	12	3
20.5737	8	26	9
20.6271	10	22	7
20.6842	7	28	9
20.7376	6	28	10
20.7909	6	30	3
20.8481	6	38	5
20.9014	6	30	10
20.9547	7	36	4
21.0118	7	36	6
21.0652	6	36	5
21.1186	10	13	3
21.1757	7	27	5
21.229	6	33	4
21.2825	12	23	4
21.3396	11	38	6
21.3929	5	21	7
21.4462	5	42	5
21.5034	11	10	4
21.5567	10	41	4
21.6101	7	14	6
21.6672	7	20	9
21.7206	10	35	7
21.774	7	48	5
21.831	6	34	5
21.8844	8	20	2
21.9378	6	47	5
21.9949	8	34	9
22.0483	11	40	3
22.1016	7	27	5
22.1587	10	36	7
22.212	8	21	0
22.2655	9	23	10
22.3226	8	39	10
22.3759	9	23	2
22.4293	5	35	2
22.4865	6	21	6
22.5398	8	35	7
22.5932	9	20	6
22.6502	5	25	6
22.7036	10	24	5
22.7571	8	24	4
22.814	7	33	7
22.8674	8	30	6
22.9208	10	37	6
22.9779	6	23	7
23.0312	8	36	3
23.0848	17	14	5
23.1418	7	29	12
23.1952	10	24	2
23.2485	9	18	8
23.3056	9	39	6
23.359	7	29	5
23.4123	8	33	3
23.4694	7	20	6
23.5227	6	41	8
23.5762	12	19	4
23.6332	9	32	5
23.6868	9	19	6
23.74	7	28	2
23.7971	10	29	4
23.8504	6	9	5
23.9038	6	38	6
23.9609	7	24	9
24.0144	8	37	5
24.0676	7	28	4
24.1247	7	37	8
24.1781	11	18	6
24.2315	7	35	5
24.2886	6	31	10
24.3419	6	23	7
24.3953	9	17	2
24.4524	7	32	7
24.5058	10	31	6
24.5592	10	27	9
24.6165	7	31	4
24.6696	12	10	6
24.723	7	35	11
24.7801	8	28	2
24.8334	6	28	6
24.8906	10	30	11
24.9439	7	29	4
24.9972	7	35	4
25.0507	1	14	10
25.1078	11	21	6
25.1612	10	27	5
25.2146	7	30	11
25.2716	7	29	8
25.3249	7	28	7
25.3784	8	30	9
25.4355	11	14	5
25.4888	9	38	10
25.5422	8	23	8
25.5993	7	34	8
25.6527	6	13	10
25.706	7	24	8
25.7632	9	17	1
25.8165	11	26	5
25.8699	8	28	10
25.927	8	22	7
25.9803	9	32	4
26.0337	10	17	6
26.0908	5	40	3
26.1441	5	20	6
26.1975	9	28	6
26.2547	5	23	10
26.308	8	22	3
26.3614	5	28	4
26.4184	7	35	4
26.4718	8	38	7
26.5254	11	20	8
26.5823	8	44	5
26.6357	6	20	10
26.689	8	22	4
26.7462	8	16	0
26.7995	9	34	6
26.853	8	29	8
26.9099	5	17	7
26.9633	5	29	0
27.0168	4	16	10
27.0737	7	36	4
27.1271	6	17	7
27.1805	8	25	6
27.2376	7	15	5
27.291	7	27	7
27.3443	9	14	5
27.3978	9	9	4
27.4549	7	28	8
27.5083	7	19	9
27.5653	9	27	4
27.6187	12	20	5
27.6721	7	30	11
27.7291	4	13	4
27.7825	8	27	5
27.8359	4	18	10
27.8929	6	25	4
