0.4434,15,6,13
0.4442,19,15,40
0.4451,20,16,32
0.4461,15,11,20
0.447,15,17,41
0.4478,19,16,36
0.4486,16,3,28
0.4494,12,13,42
0.4504,22,12,37
0.4512,14,17,23
0.4521,11,14,33
0.4529,22,12,31
0.4537,20,14,28
0.4546,4,13,30
0.4554,18,15,39
0.4563,20,13,28
0.4571,22,15,25
0.458,19,17,42
0.4588,19,10,24
0.4596,15,7,25
0.4604,26,15,40
0.4612,22,12,32
0.4621,16,9,33
0.4629,11,13,40
0.4637,22,14,37
0.4644,9,17,22
0.4652,9,8,34
0.466,29,12,41
0.4669,17,20,25
0.4677,17,11,20
0.4685,19,16,39
0.4693,19,6,24
0.4703,15,10,19
0.4713,23,15,38
0.4721,25,12,27
0.4729,11,12,27
0.4736,6,17,39
0.4745,19,14,37
0.4755,16,17,19
0.4763,7,11,33
0.477,26,15,40
0.4778,18,12,30
0.4787,14,8,33
0.4795,23,13,38
0.4805,22,12,24
0.4815,10,11,16
0.4827,17,13,40
0.4836,23,14,20
0.4844,6,18,22
0.4854,9,13,37
0.4863,18,16,23
0.487,19,5,5
0.4878,19,12,41
0.4886,22,15,41
0.4895,16,14,12
0.4904,13,16,23
0.4915,19,12,42
0.4923,21,4,30
0.493,10,13,4
0.494,19,12,45
0.495,26,13,26
0.4958,16,14,34
0.4965,12,10,36
0.4975,19,16,17
0.4987,19,9,33
0.4999,11,13,40
0.5008,18,15,40
0.5016,18,14,34
0.5026,29,19,39
0.5034,17,15,41
0.5042,18,8,34
0.5051,15,12,30
0.506,19,14,41
0.5069,24,17,28
0.5076,14,15,27
0.5084,11,13,35
0.5092,19,16,25
0.5102,11,12,28
0.511,14,14,44
0.5118,21,15,34
0.5127,15,12,33
0.5135,17,11,35
0.5143,17,16,41
0.515,15,10,33
0.5159,15,11,31
0.5167,22,12,40
0.5175,18,9,11
0.5184,10,15,23
0.5194,14,12,44
0.5202,19,10,24
0.5209,20,16,13
0.5217,15,12,41
0.5226,19,15,35
0.5234,20,8,31
0.5244,13,10,38
0.5252,18,17,33
0.526,17,5,17
0.5268,21,12,32
0.5275,19,15,45
0.5282,20,12,24
0.5292,16,10,18
0.5301,15,14,44
0.531,18,10,30
0.5318,22,4,34
0.5326,15,15,43
0.5332,19,15,29
0.5342,18,11,29
0.5351,23,11,38
0.5359,19,17,29
0.5368,12,11,15
0.5376,22,13,35
0.5385,24,15,40
0.5394,18,11,31
0.5406,10,7,16
0.5415,19,14,39
0.5425,21,10,28
0.5434,15,12,21
0.5442,19,12,39
0.545,29,13,28
0.546,10,13,19
0.547,17,16,39
0.5478,22,17,26
0.5488,12,13,25
0.5496,19,10,45
0.5504,19,15,42
0.5512,16,9,31
0.5519,23,16,7
0.5527,19,16,37
0.5534,8,10,15
0.5541,23,10,30
0.5549,19,15,40
0.5556,22,16,14
0.5563,13,16,17
0.5571,11,13,42
0.5578,22,12,25
0.5587,24,5,25
0.5594,10,15,42
0.5601,26,15,34
0.5608,9,12,30
0.5619,13,16,17
0.5628,22,15,38
0.5638,19,12,12
0.5646,32,14,19
0.5653,18,15,39
0.5662,16,16,0
0.5671,17,10,12
0.568,12,15,42
0.5688,19,14,35
0.5696,17,12,15
0.5704,21,16,45
0.5712,25,14,47
0.5719,15,12,41
0.5728,11,13,23
0.5736,22,12,44
0.5746,14,15,26
0.5755,10,17,39
0.5766,21,15,42
0.5777,18,10,26
0.5786,19,8,27
0.5795,16,17,41
0.5803,19,5,28
0.581,18,7,30
0.5818,18,15,42
0.5827,24,12,21
0.5834,19,14,28
0.5841,8,10,40
0.5849,22,16,44
0.5857,12,16,8
0.5865,15,13,22
0.5874,25,16,45
0.5882,16,16,25
0.5892,17,11,27
0.59,22,11,41
0.5907,22,6,36
0.5914,16,11,23
0.5922,24,15,42
0.5931,20,12,22
0.594,17,12,37
0.5947,15,10,41
0.5955,21,13,43
0.5963,11,17,25
0.5971,14,16,37
0.5981,26,12,41
0.5989,11,15,25
0.6,23,9,23
0.6011,23,16,40
0.6021,15,12,25
0.6029,12,17,12
0.6037,17,12,42
0.6047,22,15,29
0.6055,20,11,33
0.6065,10,14,42
0.6074,19,14,22
0.6082,20,7,37
0.609,11,16,45
0.6099,22,15,40
0.6106,15,10,19
0.6115,17,15,36
0.6125,22,16,43
0.6133,11,17,15
0.6141,16,6,9
0.615,20,14,42
0.6158,20,17,32
0.6166,19,15,13
0.6175,19,12,41
0.6184,19,14,33
0.6192,20,6,24
0.62,16,14,47
0.6209,21,12,46
0.6217,9,11,13
0.6225,13,21,32
0.6232,19,17,43
0.624,12,6,19
0.6247,5,19,3
0.6255,22,16,44
0.6265,22,13,32
0.6274,14,16,34
0.6282,25,12,46
0.629,19,18,32
0.6297,23,7,45
0.6306,15,13,44
0.6315,25,15,37
0.6323,21,12,30
0.6332,13,17,22
0.6341,21,18,41
0.6348,18,12,19
0.6355,14,15,9
0.6364,20,15,41
0.6371,21,12,31
0.6379,18,17,31
0.6387,20,11,44
0.6395,22,12,17
0.6403,11,14,18
0.6417,12,12,45
0.6427,20,15,16
0.6435,10,16,26
0.6443,24,16,46
0.6453,19,16,41
0.6462,9,12,18
0.6471,20,11,40
0.6479,20,15,41
0.6487,18,13,38
0.6495,14,15,16
0.6504,16,16,42
0.6512,20,11,12
0.6519,25,13,9
0.6529,19,12,44
0.654,27,13,34
0.6549,0,15,34
0.6556,0,0,31
0.6567,17,8,39
0.6574,8,4,25
0.6581,6,9,35
0.6588,18,6,44
0.6595,8,8,29
0.6602,10,5,0
0.6609,3,6,23
0.6616,17,0,8
0.6624,17,6,16
0.6631,14,7,22
0.6639,15,7,8
0.6646,18,4,14
0.6654,5,5,17
0.6662,11,,
0.6671,20,12,20
0.6678,12,4,15
0.6687,14,16,43
0.6695,26,10,39
0.6706,18,8,27
0.6716,15,22,43
0.6724,17,17,30
0.6732,19,16,30
0.674,,10,40
0.6748,27,15,15
0.6756,19,11,30
0.6764,20,12,41
0.6772,20,12,20
0.678,12,4,15
0.6788,14,16,43
0.6796,26,10,39
0.6804,18,8,27
0.6812,15,22,43
0.682,17,17,30
0.6828,19,16,30
0.6836,14,8,27
0.728,26,13,40
0.7812,15,7,16
0.8342,12,4,29
0.8875,21,11,27
0.937,19,5,14
0.9901,7,10,29
1.0433,8,10,39
1.0966,27,13,29
1.1496,18,0,30
1.2027,16,14,34
1.2522,18,18,43
1.3054,17,9,18
1.3592,14,25,26
1.4118,24,15,37
1.4651,20,13,31
1.5181,15,12,15
1.5677,19,11,41
1.6209,22,17,31
1.6741,15,18,28
1.7272,13,12,37
1.7804,21,15,32
1.8336,13,11,24
1.8829,17,12,35
1.9362,20,16,27
1.9893,15,13,6
2.0425,15,10,37
2.0957,24,15,37
2.1489,15,14,25
2.2022,10,12,13
2.2515,16,15,33
2.3049,18,13,19
2.358,13,19,21
2.4112,19,12,40
2.4643,28,12,21
2.5175,20,12,14
2.5673,16,13,37
2.6202,20,16,25
2.6733,12,11,22
2.7265,0,10,40
2.7799,24,15,37
2.8292,6,11,31
2.8827,12,10,30
2.9356,19,16,43
2.9888,16,11,28
3.0418,25,6,9
3.0951,22,15,40
3.1483,24,14,21
3.1977,17,12,20
3.2509,16,17,39
3.3042,23,11,25
3.3575,13,18,19
3.4108,9,14,44
3.4637,29,12,40
3.5168,10,15,17
3.5663,12,13,34
3.6195,23,16,35
3.6728,14,22,24
3.7259,14,7,16
3.779,23,15,37
3.8323,18,21,29
3.8816,21,0,9
3.9349,16,17,37
3.9881,19,13,27
4.0412,12,11,26
4.0945,0,15,38
4.1477,23,15,37
4.1974,15,14,24
4.2504,10,13,35
4.3035,23,13,26
4.3567,11,13,31
4.4098,14,7,32
4.4631,28,12,38
4.5162,13,25,27
4.566,16,12,22
4.6189,21,16,40
4.672,13,9,24
4.7251,22,2,24
4.7785,20,15,36
4.8315,23,14,38
4.8817,23,13,18
4.9343,11,13,30
4.9876,19,16,23
5.0407,17,11,22
5.094,19,13,44
5.1469,26,12,38
5.1965,17,13,17
5.2495,6,4,32
5.303,23,13,34
5.356,15,12,20
5.4091,8,20,31
5.4624,23,12,39
5.5118,27,13,27
5.5651,18,19,11
5.6183,18,14,35
5.6716,23,15,28
5.7246,12,10,22
5.7777,12,13,40
5.8309,21,12,36
5.8811,16,12,19
5.9337,10,14,43
5.987,19,16,38
6.0401,17,13,12
6.0933,16,27,26
6.1462,26,12,41
6.1958,23,16,19
6.2493,17,17,11
6.3022,18,18,36
6.3556,19,19,39
6.4085,18,12,15
6.4617,14,16,37
6.5149,23,13,25
6.5643,13,10,37
6.6175,8,16,32
6.6707,20,14,24
6.7239,12,9,23
6.7771,20,12,44
6.8304,27,12,40
6.8801,16,9,27
6.933,8,19,31
6.9862,22,15,37
7.0395,13,13,29
7.0926,10,9,18
7.1457,23,12,38
7.1951,24,15,9
7.2483,22,12,20
7.3014,24,13,42
7.3549,20,12,25
7.4079,13,12,24
7.461,17,13,40
7.5142,24,14,35
7.5637,10,14,35
7.6169,14,23,40
7.6701,21,12,29
7.7233,15,12,32
7.7766,8,14,29
7.8296,24,12,37
7.8791,22,21,24
7.9324,18,11,7
7.9854,22,13,38
8.0387,19,10,18
8.092,12,14,14
8.1451,24,15,39
8.1946,23,12,28
8.2479,17,15,12
8.3009,15,8,37
8.3542,20,18,31
8.4074,15,12,14
8.4603,16,8,34
8.51,24,12,39
8.563,14,21,14
8.6163,18,10,18
8.6694,20,14,35
8.7226,17,13,15
8.7757,17,12,24
8.8289,24,12,40
8.8784,20,18,17
8.9316,11,13,31
8.9847,13,12,41
9.0382,22,13,32
9.0911,15,21,23
9.1443,22,12,40
9.1938,23,12,29
9.247,9,13,30
9.3001,11,13,33
9.3533,20,17,34
9.4065,13,13,7
9.4559,9,0,3
9.5091,21,13,39
9.5623,22,15,30
9.6159,21,16,25
9.6689,17,14,41
9.7221,23,14,18
9.7752,10,21,42
9.8284,15,13,41
9.878,26,16,22
9.9311,14,17,27
9.9842,1,16,34
10.0375,20,17,32
10.0906,13,13,20
10.144,10,27,33
10.1934,26,15,40
10.2465,14,10,28
10.2997,10,21,13
10.3529,19,17,39
10.4061,18,13,23
10.4591,14,12,21
10.5087,23,13,42
10.5619,23,17,15
10.615,7,7,29
10.6682,14,14,34
10.7216,21,18,35
10.7744,5,12,34
10.8239,13,14,44
10.877,23,16,40
10.9302,14,12,24
10.9834,10,11,27
11.0365,20,18,43
11.0897,10,10,15
11.1429,23,15,23
11.1923,21,13,44
11.2456,22,15,20
11.2988,15,16,21
11.3519,20,14,40
11.4051,20,18,13
11.4545,16,0,30
11.5078,15,13,42
11.561,24,16,29
11.6141,13,11,33
11.6673,8,15,43
11.7205,20,17,39
11.7699,9,9,23
11.8231,16,16,33
11.8763,22,16,42
11.9296,20,14,27
11.9826,0,16,18
12.0358,1,20,46
12.0853,4,0,18
12.1384,0,2,19
12.1916,2,1,45
12.2449,11,3,33
12.2979,0,0,20
12.3511,0,5,38
12.4044,14,4,40
12.4537,6,6,0
12.507,11,3,6
12.5602,13,3,27
12.6132,7,4,9
12.6627,4,1,0
12.716,6,2,27
12.7691,14,3,0
12.8223,6,7,4
12.8754,7,4,31
12.9287,17,5,25
12.9819,15,0,10
13.0312,9,5,12
13.0846,13,6,27
13.1377,10,1,10
13.1908,7,0,10
13.244,10,6,27
13.2972,14,11,5
13.3466,4,8,11
13.3998,9,8,22
13.4531,14,10,15
13.5062,5,11,6
13.5594,13,7,31
13.6126,17,9,27
13.6621,11,5,10
13.7152,5,7,21
13.7684,10,9,29
13.8216,5,10,16
13.8747,9,7,12
13.928,11,9,27
13.9774,15,10,5
14.0305,1,4,2
14.0837,5,4,29
14.137,11,11,16
14.1863,0,5,8
14.2397,19,2,29
14.2929,19,9,27
14.3461,13,14,19
14.3992,11,10,12
14.4524,15,11,25
14.5055,11,6,0
14.5549,9,1,11
14.6081,17,9,26
14.6614,15,9,18
14.7145,10,12,7
14.7676,9,8,25
14.8208,15,7,5
14.8702,0,5,2
14.9234,19,8,27
14.9767,23,6,25
15.0299,27,11,12
15.083,9,3,10
15.1362,17,6,28
15.1856,14,1,3
15.2388,10,14,1
15.292,18,6,30
15.3452,24,6,9
15.3984,19,11,15
15.4478,3,5,28
15.501,22,7,15
15.5542,12,10,10
15.6074,15,7,30
15.6606,25,6,27
15.7137,13,6,3
15.7632,6,2,14
15.8166,23,8,27
15.8695,17,6,12
15.9227,8,6,7
15.9759,17,6,27
16.029,22,9,7
16.0823,20,15,6
16.1317,0,3,22
16.185,22,10,17
16.238,14,9,9
16.2913,19,6,22
16.3445,24,9,27
16.3939,18,8,6
16.4471,12,6,8
16.5003,20,9,29
16.5535,20,11,11
16.6066,16,0,0
16.6598,21,6,26
16.7092,22,8,8
16.7625,13,6,16
16.8157,20,5,26
16.8689,20,12,13
16.9224,11,2,19
16.9752,11,7,21
17.0247,26,9,32
17.0778,19,7,1
17.131,11,10,5
17.1842,17,8,26
17.2374,14,10,2
17.2905,18,13,0
17.34,23,9,29
17.3931,25,6,6
17.4464,14,11,8
17.4995,22,8,25
17.5527,20,9,12
17.6022,14,9,5
17.6553,8,2,21
17.7086,26,8,26
17.7616,19,8,1
17.8149,17,9,5
17.8681,18,9,24
17.9175,22,3,1
17.9745,24,11,20
18.0239,15,6,28
18.077,24,6,2
18.1302,9,6,7
18.1834,0,6,27
18.2366,24,8,18
18.2861,16,13,9
18.3392,15,4,20
18.3924,30,6,31
18.4455,21,8,8
18.4988,13,4,15
18.552,26,9,25
18.6014,22,6,14
18.6546,15,7,0
18.7078,27,7,31
18.761,23,9,22
18.8142,21,6,17
18.8674,11,3,30
18.9169,19,11,23
18.97,19,4,15
19.0232,19,2,20
19.0764,24,9,28
19.1296,11,7,19
19.1827,24,8,11
19.2322,21,9,29
19.2855,23,6,14
19.3386,14,7,12
19.3918,16,9,31
19.4452,27,7,14
19.4981,16,7,10
19.5475,9,8,27
19.6007,22,8,23
19.6539,18,1,15
19.707,0,9,24
19.7603,24,7,34
19.8097,22,0,4
19.8628,18,5,5
19.916,23,9,29
19.9693,26,8,12
20.0225,19,11,16
20.0757,21,6,34
20.1253,29,6,9
20.1782,18,7,9
20.2313,4,8,26
20.2846,26,8,29
20.3377,11,3,9
20.391,18,14,12
20.4404,27,6,30
