1.9049,2,6,1,0,37,1,12,12,18,15,12,16,30,8,21,11,45,59,6,16,11,18,,,
1.9664,2,6,1,0,33,1,13,12,17,16,13,18,41,6,6,20,38,47,14,21,13,17,,,
2.0318,3,4,1,1,30,1,12,8,13,12,14,7,33,11,20,17,41,53,15,15,13,19,,,
2.0933,3,5,1,1,29,1,14,9,12,9,16,18,30,7,8,18,34,56,13,18,13,14,,,
2.1587,3,4,0,1,33,1,12,7,11,14,11,28,47,9,19,16,43,44,19,16,13,18,,,
2.2203,3,6,0,1,34,0,13,11,13,15,13,21,32,5,7,13,46,54,11,24,11,18,,,
2.2857,2,6,1,1,33,0,14,11,13,16,12,22,45,9,16,12,36,48,1,5,11,17,,,
2.3473,3,6,1,0,37,1,13,10,14,13,12,0,31,10,20,17,39,56,10,11,13,15,,,
2.4127,3,4,1,1,30,1,12,12,13,13,12,12,24,5,19,19,21,49,11,17,13,14,,,
2.4742,3,4,1,1,30,1,12,11,10,11,12,26,44,11,19,17,35,52,10,12,13,16,,,
2.5358,3,6,0,1,32,1,15,8,11,10,14,19,29,4,11,15,40,60,6,20,13,14,,,
2.6011,3,6,0,1,29,0,14,11,12,12,9,23,52,5,15,15,21,55,6,11,12,17,,,
2.6664,2,6,1,0,35,1,12,10,9,15,11,22,29,10,21,18,44,58,14,10,11,18,,,
2.7278,3,7,1,0,33,1,11,12,9,18,14,5,24,4,7,14,23,49,11,18,13,15,,,
2.7899,3,5,1,1,34,1,12,8,13,17,11,19,42,10,18,19,39,47,14,4,13,17,,,
2.8548,3,6,1,1,34,1,11,7,13,14,12,14,32,9,5,13,43,55,9,12,13,17,,,
2.9167,2,3,1,0,30,1,12,12,9,13,11,23,52,9,23,17,30,53,0,5,12,18,,,
2.9819,3,6,1,0,37,1,10,10,11,14,13,13,24,10,20,14,44,52,14,17,13,14,,,
3.0437,3,5,1,1,28,1,11,12,16,13,12,8,28,8,14,18,31,50,16,19,13,14,,,
3.1087,3,8,1,1,30,1,12,7,17,14,13,24,47,9,19,17,40,40,14,16,13,16,,,
3.1703,3,6,1,1,31,1,14,8,14,15,14,14,37,8,11,15,43,58,9,18,13,15,,,
3.2361,3,4,0,1,26,0,13,12,13,16,11,23,49,7,20,20,34,51,13,7,10,16,,,
3.2993,2,6,1,0,36,1,11,9,11,16,9,15,23,2,19,15,43,56,13,12,13,19,,,
3.3627,3,6,1,0,31,1,12,12,11,16,12,15,30,11,15,18,37,52,15,20,13,15,,,
3.4243,3,7,1,1,22,1,13,14,14,10,15,26,41,9,21,15,36,52,10,11,13,14,,,
3.4861,3,6,1,1,32,1,11,10,15,12,13,10,32,6,7,19,46,58,12,19,13,17,,,
3.5511,3,4,1,1,29,1,14,10,13,13,12,22,49,11,5,19,36,54,9,8,13,14,,,
3.6127,3,6,0,1,31,0,14,10,19,14,9,4,21,7,21,11,48,57,11,8,11,19,,,
3.6781,2,6,1,0,32,1,12,12,10,13,10,14,29,9,9,13,28,44,14,17,11,17,,,
3.7399,3,7,1,1,33,1,11,10,14,14,14,25,39,12,15,19,38,50,11,19,13,18,,,
3.8051,3,5,1,1,33,1,11,10,14,15,13,14,34,0,15,15,35,55,12,18,13,14,,,
3.8666,3,6,1,1,27,1,13,13,12,13,12,25,49,11,18,18,43,53,19,9,13,16,,,
3.9282,3,4,1,1,30,1,14,7,14,14,17,8,23,9,20,17,45,53,14,21,13,12,,,
3.9935,3,6,0,1,30,1,13,10,12,14,12,9,31,4,8,11,24,54,11,16,13,17,,,
4.056,2,5,1,1,32,0,12,8,16,15,11,31,42,4,22,17,40,51,7,17,12,16,,,
4.1206,2,6,1,1,33,1,14,10,9,16,12,6,27,3,17,12,40,56,9,16,11,17,,,
4.1821,3,5,1,1,38,1,11,12,10,13,12,24,50,8,16,19,24,59,14,9,13,14,,,
4.2476,3,7,1,1,30,1,13,10,18,13,11,11,27,11,17,18,45,56,15,17,13,15,,,
4.3091,3,3,1,1,31,1,14,11,15,11,12,19,28,2,21,17,25,56,15,17,13,14,,,
4.3745,3,7,1,1,31,1,12,7,24,10,14,21,43,10,19,17,31,49,16,6,13,14,,,
4.4358,3,6,0,1,33,1,13,8,16,14,14,7,31,7,5,19,38,58,9,17,13,16,,,
4.5011,3,6,1,1,33,0,15,12,9,13,9,21,48,6,15,17,31,50,13,12,11,16,,,
4.5628,2,6,1,1,32,1,12,9,13,14,10,17,29,5,19,13,44,54,12,15,13,18,,,
4.6244,3,2,1,0,33,1,12,12,9,14,12,4,22,8,8,17,32,48,18,18,13,14,,,
4.6898,3,6,1,1,28,1,13,9,11,10,11,22,45,12,19,17,49,41,11,12,13,17,,,
4.7551,3,6,1,1,31,1,14,9,11,15,11,11,38,6,16,17,42,58,11,21,13,14,,,
4.8167,3,5,0,1,28,1,9,9,12,12,12,20,48,7,16,19,25,52,10,19,13,16,,,
4.8786,3,6,0,1,36,0,14,12,14,14,9,22,25,5,19,18,40,58,16,11,11,14,,,
4.9439,2,5,1,0,32,0,14,12,8,12,10,18,34,5,14,15,43,47,11,21,11,17,,,
5.0054,2,7,1,0,33,1,9,9,17,14,15,19,44,10,14,12,46,46,12,9,12,20,,,
5.0706,3,5,1,1,32,1,10,11,17,12,12,6,38,6,14,20,34,51,13,21,13,14,,,
5.1323,3,4,1,1,35,1,12,13,22,11,12,18,50,10,17,16,39,54,14,16,13,9,,,
5.1975,3,5,1,1,36,1,11,11,17,10,13,15,36,10,22,14,47,57,17,6,13,13,,,
5.2591,3,6,1,1,28,1,14,10,20,11,12,7,32,5,18,13,25,51,12,15,13,14,,,
5.3244,3,6,0,1,32,1,13,10,18,13,12,23,46,7,19,16,35,49,12,3,13,17,,,
